il;Tarým;Sanayi;Hizmet 
Ýstanbul;0,6;31,5;68
Tekirdað;15,4;38,7;45,9
Balýkesir;21,8;24;54,2
Çanakkale;21,8;24;54,2
Ýzmir;7,4;32,4;60,2
Aydýn;20,6;23,8;55,6
Denizli;20,6;23,8;55,6
Muðla;20,6;23,8;55,6
Manisa;30,6;29,2;40,1
Afyonkarahisar;30,6;29,2;40,1
Kütahya;30,6;29,2;40,1
Uþak;30,6;29,2;40,1
Bursa;7,3;40,9;51,8
Eskiþehir;7,3;40,9;51,8
Bilecik;7,3;40,9;51,8
Sakarya;12,1;37;50,9
Kocaeli;12,1;37;50,9
Düzce;12,1;37;50,9
Bolu;12,1;37;50,9
Yalova;12,1;37;50,9
Ankara;3,1;25,4;71,4
Konya;24,9;29,2;45,9
Karaman;24,9;29,2;45,9
Antalya;17,1;15,4;67,5
Isparta;17,1;15,4;67,5
Burdur;17,1;15,4;67,5
Adana;16,9;24,8;58,2
Mersin;16,9;24,8;58,2
Hatay;18,3;25,1;56,7
Kahramanmaraþ;18,3;25,1;56,7
Osmaniye;18,3;25,1;56,7
Kýrýkkale;27,1;21,2;51,7
Aksaray;27,1;21,2;51,7
Niðde;27,1;21,2;51,7
Nevþehir;27,1;21,2;51,7
Kýrþehir;27,1;21,2;51,7
Kayseri;20,4;26,1;53,5
Sivas;20,4;26,1;53,5
Yozgat;20,4;26,1;53,5
Zonguldak;21,7;28,8;49,5
Karabük;21,7;28,8;49,5
Bartýn;21,7;28,8;49,5
Kastamonu;37,3;17,7;45
Çankýrý;37,3;17,7;45
Sinop;37,3;17,7;45
Samsun;34,7;20,1;45,2
Tokat;34,7;20,1;45,2
Çorum;34,7;20,1;45,2
Amasya;34,7;20,1;45,2
Trabzon;39,6;17,3;43,1
Ordu;39,6;17,3;43,1
Giresun;39,6;17,3;43,1
Rize;39,6;17,3;43,1
Artvin;39,6;17,3;43,1
Gümüþhane;39,6;17,3;43,1
Erzurum;37,3;12,3;50,4
Erzincan;37,3;12,3;50,4
Bayburt;37,3;12,3;50,4
Aðrý;48,1;12,4;39,4
Kars;48,1;12,4;39,4
Iðdýr;48,1;12,4;39,4
Ardahan;48,1;12,4;39,4
Malatya;28,2;19,7;52,1
Elazýð;28,2;19,7;52,1
Bingöl;28,2;19,7;52,1
Tunceli;28,2;19,7;52,1
Van;34,4;23,9;41,7
Muþ;34,4;23,9;41,7
Bitlis;34,4;23,9;41,7
Hakkari;34,4;23,9;41,7
Gaziantep;15,2;33,6;51,2
Adýyaman;15,2;33,6;51,2
Kilis;15,2;33,6;51,2
Þanlýurfa;28,8;23,4;47,9
Diyarbakýr;28,8;23,4;47,9
Mardin;19,6;23,1;57,2
Batman;19,6;23,1;57,2
Þýrnak;19,6;23,1;57,2
Siirt;19,6;23,1;57,2
Edirne;15,4;38,7;45,9
